id,name,email,branch,graduation_year,cgpa,backlogs,has_prior_offer,academic_score,readiness_score
1,Isaac Bakshi,isaac.bakshi1@example.com,ECE,2025,8.38,0,False,83.8,60.9
2,Anvi Konda,anvi.konda2@example.com,MECH,2025,8.81,0,False,88.1,81.05
3,Udant Dewan,udant.dewan3@example.com,IT,2027,5.64,0,False,56.4,55.7
4,Harsh Chahal,harsh.chahal4@example.com,CIVIL,2027,8.03,1,False,76.3,74.15
5,Pahal Balay,pahal.balay5@example.com,CSE,2025,7.52,0,False,75.2,67.72
6,Ayushman Chander,ayushman.chander6@example.com,ECE,2025,7.03,0,True,70.3,66.15
7,Tejas Kaul,tejas.kaul7@example.com,MECH,2026,5.94,1,False,55.4,46.7
8,Yashasvi Bala,yashasvi.bala8@example.com,EEE,2025,8.78,0,False,87.8,61.15
9,Rushil Saini,rushil.saini9@example.com,ECE,2027,9.23,0,False,92.3,74.35
10,Thomas Sen,thomas.sen10@example.com,ECE,2025,5.81,0,False,58.1,53.3
11,Arunima Ahuja,arunima.ahuja11@example.com,EEE,2027,9.4,0,False,94.0,78.6
12,Nathaniel Sami,nathaniel.sami12@example.com,CIVIL,2026,6.23,0,False,62.3,58.9
13,Harini Mall,harini.mall13@example.com,CIVIL,2025,8.58,0,False,85.8,76.23
14,Nachiket Kale,nachiket.kale14@example.com,ECE,2027,6.6,0,False,66.0,67.5
15,Gayathri Chaudry,gayathri.chaudry15@example.com,CSE,2025,6.49,0,False,64.9,73.12
16,George Rai,george.rai16@example.com,CSE,2025,9.12,0,False,91.2,77.47
17,Gunbir Parmer,gunbir.parmer17@example.com,IT,2027,8.05,1,False,76.5,66.92
18,Hemangini Lalla,hemangini.lalla18@example.com,IT,2026,9.48,0,False,94.8,83.65
19,Caleb Sharaf,caleb.sharaf19@example.com,CIVIL,2027,8.85,0,False,88.5,94.25
20,Jeet Radhakrishnan,jeet.radhakrishnan20@example.com,IT,2027,8.13,0,False,81.3,71.9
21,Farhan Memon,farhan.memon21@example.com,IT,2027,8.9,1,False,85.0,61.5
22,Janaki Handa,janaki.handa22@example.com,EEE,2026,8.56,0,False,85.6,72.92
23,Ekaraj Bath,ekaraj.bath23@example.com,MECH,2025,7.61,0,False,76.1,62.05
24,Vedant Mann,vedant.mann24@example.com,ECE,2027,6.02,2,False,52.2,56.22
25,Fariq Kaul,fariq.kaul25@example.com,CSE,2027,6.82,0,False,68.2,58.35
26,Harrison Rai,harrison.rai26@example.com,IT,2027,6.69,0,False,66.9,77.85
27,Arunima Setty,arunima.setty27@example.com,CIVIL,2027,9.42,0,False,94.2,82.1
28,Janya Gaba,janya.gaba28@example.com,MECH,2027,6.19,1,False,57.9,60.2
29,Kamala Pant,kamala.pant29@example.com,CSE,2026,8.2,0,False,82.0,71.0
30,Shaurya Loke,shaurya.loke30@example.com,CSE,2025,9.24,0,False,92.4,80.0
31,Ekbal Garg,ekbal.garg31@example.com,EEE,2025,9.76,0,False,97.6,78.8
32,Yash Gade,yash.gade32@example.com,CIVIL,2026,7.9,0,False,79.0,77.5
33,Turvi Raghavan,turvi.raghavan33@example.com,MECH,2026,6.24,0,False,62.4,64.2
34,Anamika Kanda,anamika.kanda34@example.com,CIVIL,2025,9.68,1,False,92.8,85.9
35,Ekta Bhalla,ekta.bhalla35@example.com,ECE,2026,7.3,0,False,73.0,75.5
36,Veer Balay,veer.balay36@example.com,CSE,2026,7.53,0,True,75.3,58.65
37,Diya Rattan,diya.rattan37@example.com,CSE,2025,7.99,0,False,79.9,71.82
38,Amrita Bhatti,amrita.bhatti38@example.com,CSE,2026,5.76,0,True,57.6,59.8
39,Siddharth Murty,siddharth.murty39@example.com,IT,2027,6.57,0,False,65.7,70.85
40,Simon Tata,simon.tata40@example.com,EEE,2025,9.71,0,False,97.1,77.8
41,Meghana Shanker,meghana.shanker41@example.com,CSE,2027,9.13,0,False,91.3,67.45
42,Luke Lanka,luke.lanka42@example.com,CIVIL,2025,7.41,0,False,74.1,64.22
43,Liam Koshy,liam.koshy43@example.com,EEE,2027,9.93,0,False,99.3,70.98
44,Adya Sangha,adya.sangha44@example.com,IT,2027,9.38,0,False,93.8,81.73
45,Mohini Pathak,mohini.pathak45@example.com,IT,2025,7.4,0,False,74.0,72.12
46,Theodore Devi,theodore.devi46@example.com,CSE,2027,9.38,0,False,93.8,82.57
47,Yashodhara Tak,yashodhara.tak47@example.com,IT,2025,9.26,3,False,80.6,76.1
48,Gavin Batta,gavin.batta48@example.com,CSE,2025,7.67,1,False,72.7,75.75
49,Imaran Dua,imaran.dua49@example.com,EEE,2026,9.93,0,False,99.3,72.85
50,Nathaniel Sami,nathaniel.sami50@example.com,MECH,2027,9.81,3,False,86.1,79.05
51,Devansh Rajan,devansh.rajan51@example.com,CSE,2027,6.2,0,False,62.0,60.0
52,Lakshmi Sidhu,lakshmi.sidhu52@example.com,CSE,2027,5.77,0,False,57.7,57.85
53,Zayan Apte,zayan.apte53@example.com,CSE,2027,9.64,0,True,96.4,91.2
54,Ishwar Yadav,ishwar.yadav54@example.com,CIVIL,2025,6.34,0,False,63.4,61.7
55,Amara Oak,amara.oak55@example.com,MECH,2027,9.74,0,True,97.4,81.7
56,Isaac Memon,isaac.memon56@example.com,MECH,2027,5.87,0,False,58.7,50.1
57,Radhika Dugar,radhika.dugar57@example.com,ECE,2025,6.67,0,False,66.7,67.15
58,Sudiksha Aggarwal,sudiksha.aggarwal58@example.com,EEE,2026,6.09,0,False,60.9,64.12
59,Adya Tella,adya.tella59@example.com,MECH,2027,9.71,0,False,97.1,72.22
60,Pranav Tripathi,pranav.tripathi60@example.com,ECE,2025,5.83,0,False,58.3,62.82
61,Hitesh Misra,hitesh.misra61@example.com,ECE,2026,9.46,1,False,90.6,68.97
62,Yashica Issac,yashica.issac62@example.com,MECH,2027,9.25,1,False,88.5,78.25
63,Michael Prakash,michael.prakash63@example.com,CIVIL,2025,8.51,0,False,85.1,76.22
64,Neel Zacharia,neel.zacharia64@example.com,CSE,2027,6.1,0,False,61.0,57.5
65,Aadi Naik,aadi.naik65@example.com,CIVIL,2026,6.73,0,False,67.3,59.4
66,Vrinda Bahl,vrinda.bahl66@example.com,EEE,2026,8.35,0,False,83.5,68.38
67,Isaac Patil,isaac.patil67@example.com,EEE,2026,9.31,0,True,93.1,76.68
68,Damyanti Khatri,damyanti.khatri68@example.com,ECE,2025,7.0,0,False,70.0,64.0
69,Dalbir Khosla,dalbir.khosla69@example.com,CSE,2025,7.98,0,True,79.8,76.9
70,Farhan Chada,farhan.chada70@example.com,MECH,2025,9.47,2,False,86.7,63.52
71,Vedika Biswas,vedika.biswas71@example.com,IT,2025,8.12,0,False,81.2,80.1
72,Jeremiah Dave,jeremiah.dave72@example.com,CSE,2026,9.55,1,False,91.5,67.75
73,Vaishnavi Gandhi,vaishnavi.gandhi73@example.com,MECH,2026,6.62,0,False,66.2,67.6
74,Alka Wable,alka.wable74@example.com,IT,2025,8.87,2,False,80.7,61.68
75,Pallavi Kakar,pallavi.kakar75@example.com,CSE,2025,9.15,2,False,83.5,80.55
76,Sai Muni,sai.muni76@example.com,CIVIL,2027,6.99,2,False,61.9,59.58
77,Mohini Prakash,mohini.prakash77@example.com,CSE,2026,6.7,1,False,63.0,64.83
78,Raksha Varughese,raksha.varughese78@example.com,EEE,2026,9.36,0,False,93.6,87.13
79,Siya Dara,siya.dara79@example.com,CSE,2027,9.08,0,False,90.8,68.6
80,Yug Kar,yug.kar80@example.com,ECE,2026,6.98,1,False,65.8,78.23
81,Devansh Nigam,devansh.nigam81@example.com,MECH,2026,7.3,3,False,61.0,59.75
82,Ansh Karpe,ansh.karpe82@example.com,IT,2027,6.02,3,False,48.2,60.1
83,Thomas Amble,thomas.amble83@example.com,EEE,2026,6.69,0,False,66.9,56.82
84,Ekavir Bhargava,ekavir.bhargava84@example.com,MECH,2025,6.91,0,False,69.1,72.3
85,Veer Bir,veer.bir85@example.com,CIVIL,2026,8.09,0,True,80.9,67.7
86,Azad Narayanan,azad.narayanan86@example.com,CIVIL,2027,9.67,0,False,96.7,79.35
87,Ekavir Varkey,ekavir.varkey87@example.com,CIVIL,2026,6.39,0,False,63.9,73.2
88,Wazir Mallick,wazir.mallick88@example.com,ECE,2027,8.49,0,False,84.9,72.85
89,Vedika Kala,vedika.kala89@example.com,ECE,2027,7.34,0,False,73.4,59.2
90,Kevin Solanki,kevin.solanki90@example.com,CIVIL,2027,7.39,2,False,65.9,55.2
91,Xavier Solanki,xavier.solanki91@example.com,MECH,2025,8.27,0,False,82.7,77.02
92,Niharika Gupta,niharika.gupta92@example.com,MECH,2027,6.45,1,False,60.5,61.88
93,Girindra Chatterjee,girindra.chatterjee93@example.com,MECH,2026,7.49,0,False,74.9,64.95
94,Raagini Pandya,raagini.pandya94@example.com,CIVIL,2025,9.82,1,False,94.2,86.6
95,Pallavi Roy,pallavi.roy95@example.com,CSE,2025,8.49,0,False,84.9,73.45
96,Unni Bhagat,unni.bhagat96@example.com,CSE,2025,6.51,0,False,65.1,55.75
97,Guneet Bhat,guneet.bhat97@example.com,CSE,2026,7.64,1,False,72.4,72.2
