student_email,job_id,status
thomas.kapadia0@example.com,4,Applied
ekaraj.uppal1@example.com,1,Applied
aadhya.zachariah2@example.com,3,Applied
samarth.grewal3@example.com,4,Applied
gayathri.shan4@example.com,3,Applied
janya.maharaj5@example.com,5,Applied
keya.dey6@example.com,2,Applied
yashvi.nadkarni7@example.com,2,Applied
faris.doshi8@example.com,1,Applied
liam.atwal9@example.com,4,Applied
ansh.murty10@example.com,1,Applied
pooja.divan11@example.com,1,Applied
chanakya.lala12@example.com,5,Applied
ubika.kumer13@example.com,3,Applied
anthony.mukhopadhyay14@example.com,4,Applied
rehaan.krishnamurthy15@example.com,4,Applied
isaac.lad16@example.com,3,Applied
charita.mutti17@example.com,3,Applied
yuvraj.modi18@example.com,5,Applied
upkaar.devan19@example.com,2,Applied
indira.seth20@example.com,1,Applied
waida.doshi21@example.com,1,Applied
panini.konda22@example.com,2,Applied
sathvik.rao23@example.com,5,Applied
oscar.karpe24@example.com,2,Applied
agastya.suresh25@example.com,2,Applied
umang.dani26@example.com,4,Applied
mohammed.parsa27@example.com,2,Applied
vasudha.lalla28@example.com,2,Applied
siya.patla29@example.com,3,Applied
leela.master30@example.com,1,Applied
omkaar.vora31@example.com,1,Applied
manbir.mitra32@example.com,4,Applied
brijesh.nagy33@example.com,1,Applied
akshay.sur34@example.com,1,Applied
ryan.tank35@example.com,3,Applied
geetika.merchant36@example.com,3,Applied
abhimanyu.gara37@example.com,2,Applied
ubika.gola38@example.com,1,Applied
harrison.dugar39@example.com,3,Applied
saumya.gour40@example.com,4,Applied
hema.hayre41@example.com,2,Applied
lipika.parsa42@example.com,1,Applied
aarush.sur43@example.com,5,Applied
baljiwan.goswami44@example.com,1,Applied
vedhika.banik45@example.com,5,Applied
ayaan.chahal46@example.com,4,Applied
hemani.rout47@example.com,3,Applied
michael.dara48@example.com,1,Applied
jairaj.rajan49@example.com,3,Applied
chanakya.bhardwaj50@example.com,3,Applied
ekalinga.contractor51@example.com,5,Applied
ethan.balasubramanian52@example.com,4,Applied
zayyan.sur53@example.com,2,Applied
pallavi.prabhakar54@example.com,1,Applied
wazir.deshpande55@example.com,5,Applied
ojas.mannan56@example.com,3,Applied
indali.dave57@example.com,2,Applied
amara.sarin58@example.com,4,Applied
hardik.kota59@example.com,3,Applied
onkar.bhavsar60@example.com,5,Applied
siddharth.barad61@example.com,2,Applied
bhavika.radhakrishnan62@example.com,2,Applied
ethan.gala63@example.com,5,Applied
bimala.suresh64@example.com,2,Applied
chanchal.manda65@example.com,1,Applied
gaurangi.banerjee66@example.com,2,Applied
aashi.nayak67@example.com,1,Applied
eta.mander68@example.com,5,Applied
ayush.jani69@example.com,4,Applied
chavvi.kade70@example.com,2,Applied
