student_email,quant,logical,verbal
thomas.kapadia0@example.com,66,99,100
ekaraj.uppal1@example.com,91,40,88
aadhya.zachariah2@example.com,92,43,92
samarth.grewal3@example.com,49,66,66
gayathri.shan4@example.com,92,92,43
janya.maharaj5@example.com,59,63,91
keya.dey6@example.com,91,51,52
yashvi.nadkarni7@example.com,75,44,89
faris.doshi8@example.com,71,46,83
liam.atwal9@example.com,67,65,95
ansh.murty10@example.com,73,57,89
pooja.divan11@example.com,82,62,62
chanakya.lala12@example.com,60,75,60
ubika.kumer13@example.com,74,77,47
anthony.mukhopadhyay14@example.com,82,93,63
rehaan.krishnamurthy15@example.com,72,61,78
isaac.lad16@example.com,74,84,63
charita.mutti17@example.com,69,59,44
yuvraj.modi18@example.com,96,97,61
upkaar.devan19@example.com,78,50,47
indira.seth20@example.com,93,42,55
waida.doshi21@example.com,49,63,75
panini.konda22@example.com,46,97,45
sathvik.rao23@example.com,76,40,96
oscar.karpe24@example.com,81,73,57
agastya.suresh25@example.com,60,88,98
umang.dani26@example.com,57,81,99
mohammed.parsa27@example.com,61,83,82
vasudha.lalla28@example.com,44,72,100
siya.patla29@example.com,60,54,81
leela.master30@example.com,91,76,94
omkaar.vora31@example.com,49,96,61
manbir.mitra32@example.com,63,92,95
brijesh.nagy33@example.com,83,86,85
akshay.sur34@example.com,51,74,81
ryan.tank35@example.com,97,92,65
geetika.merchant36@example.com,53,45,47
abhimanyu.gara37@example.com,100,99,61
ubika.gola38@example.com,52,56,73
harrison.dugar39@example.com,95,70,96
saumya.gour40@example.com,60,93,70
hema.hayre41@example.com,65,77,41
lipika.parsa42@example.com,96,91,82
aarush.sur43@example.com,55,44,96
baljiwan.goswami44@example.com,91,65,87
vedhika.banik45@example.com,79,67,74
ayaan.chahal46@example.com,59,94,95
hemani.rout47@example.com,75,74,92
michael.dara48@example.com,71,61,60
jairaj.rajan49@example.com,89,64,48
chanakya.bhardwaj50@example.com,77,74,49
ekalinga.contractor51@example.com,46,76,96
ethan.balasubramanian52@example.com,61,69,47
zayyan.sur53@example.com,59,68,75
pallavi.prabhakar54@example.com,43,41,87
wazir.deshpande55@example.com,100,87,81
ojas.mannan56@example.com,46,54,75
indali.dave57@example.com,98,67,42
amara.sarin58@example.com,79,44,85
hardik.kota59@example.com,85,68,90
onkar.bhavsar60@example.com,62,63,84
siddharth.barad61@example.com,58,78,69
bhavika.radhakrishnan62@example.com,78,62,91
ethan.gala63@example.com,76,74,100
bimala.suresh64@example.com,97,59,81
chanchal.manda65@example.com,68,61,76
gaurangi.banerjee66@example.com,79,69,44
aashi.nayak67@example.com,73,79,58
eta.mander68@example.com,84,73,94
ayush.jani69@example.com,65,94,44
chavvi.kade70@example.com,58,66,52
veda.brar71@example.com,68,98,94
arjun.bandi72@example.com,64,51,70
varenya.prabhakar73@example.com,59,74,66
tanish.kaul74@example.com,40,73,49
tamanna.bhat75@example.com,71,89,69
chameli.parmer76@example.com,59,98,99
ganga.bava77@example.com,75,94,57
balendra.raman78@example.com,47,53,91
rehaan.khurana79@example.com,50,81,60
darika.taneja80@example.com,57,70,95
timothy.kala81@example.com,80,57,92
vinaya.wason82@example.com,63,75,47
turvi.borde83@example.com,62,92,72
henry.gopal84@example.com,92,48,92
sai.prabhu85@example.com,49,86,49
victor.upadhyay86@example.com,95,71,71
falan.dalal87@example.com,60,87,86
neelima.datta88@example.com,69,84,63
oeshi.pathak89@example.com,74,57,85
chanchal.dora90@example.com,98,98,71
finn.master91@example.com,72,48,56
timothy.kaul92@example.com,90,40,47
wyatt.batra93@example.com,91,86,70
chaaya.shenoy94@example.com,69,76,81
lopa.parmer95@example.com,95,93,48
matthew.raju96@example.com,44,41,71
abdul.upadhyay97@example.com,94,83,78
abhiram.wadhwa98@example.com,66,57,76
ubika.sankaran99@example.com,86,69,44
ekiya.jhaveri100@example.com,61,84,55
yasti.krish101@example.com,76,43,69
anita.dhillon102@example.com,63,44,83
hema.rastogi103@example.com,80,66,56
suhani.dutt104@example.com,56,88,88
gautam.kari105@example.com,78,66,73
eta.prabhu106@example.com,97,91,96
avni.sinha107@example.com,46,98,74
onveer.hayer108@example.com,76,90,66
praneel.ganesan109@example.com,79,53,44
rudra.kala110@example.com,58,81,79
hardik.buch111@example.com,52,83,55
irya.wadhwa112@example.com,65,56,63
xiti.vora113@example.com,86,71,95
divya.sridhar114@example.com,63,56,49
gunbir.dyal115@example.com,89,53,87
warinder.kant116@example.com,55,78,91
chanakya.batra117@example.com,93,68,95
ayushman.bhatia118@example.com,61,71,72
mohammed.sachdeva119@example.com,89,89,50
chanchal.acharya120@example.com,58,47,63
dayita.bhalla121@example.com,84,91,54
krisha.apte122@example.com,57,43,74
radhika.nair123@example.com,57,88,40
agastya.padmanabhan124@example.com,51,59,67
pratyush.kalita125@example.com,73,81,94
pranav.jain126@example.com,85,76,63
urvashi.bansal127@example.com,74,77,53
indali.bains128@example.com,93,64,54
anusha.anne129@example.com,84,63,92
pushti.jha130@example.com,62,91,95
anmol.narasimhan131@example.com,96,92,75
ryan.dhar132@example.com,69,78,41
brinda.dara133@example.com,43,83,55
divya.salvi134@example.com,51,54,47
farhan.comar135@example.com,96,94,65
lajita.minhas136@example.com,67,85,61
widisha.gole137@example.com,56,41,84
rehaan.padmanabhan138@example.com,70,48,60
eta.magar139@example.com,84,88,53
sanaya.khurana140@example.com,52,57,84
panini.parmar141@example.com,50,50,58
vaishnavi.kala142@example.com,100,53,93
bhavini.nagy143@example.com,49,72,67
bhavika.banik144@example.com,92,42,76
xalak.madan145@example.com,57,63,47
gayathri.bose146@example.com,84,50,46
dipta.khanna147@example.com,78,91,56
nilima.merchant148@example.com,46,74,77
viraj.sama149@example.com,54,72,65
chaitanya.basu150@example.com,83,43,100
ojasvi.dugar151@example.com,99,83,96
champak.padmanabhan152@example.com,85,82,75
vihaan.balay153@example.com,89,67,42
darpan.mutti154@example.com,89,44,47
zinal.trivedi155@example.com,49,76,46
lakshit.kadakia156@example.com,86,81,56
yauvani.chaudhry157@example.com,67,83,93
aarna.patla158@example.com,51,79,65
keya.natarajan159@example.com,60,89,48
forum.bala160@example.com,61,78,62
wahab.murthy161@example.com,52,94,86
aadi.warrior162@example.com,80,92,76
kashvi.rastogi163@example.com,63,92,51
azaan.issac164@example.com,76,93,58
ganga.das165@example.com,100,93,66
nisha.thakur166@example.com,61,86,92
eesha.kalla167@example.com,77,72,81
ekansh.comar168@example.com,78,90,83
shivansh.bains169@example.com,81,81,56
tejas.wason170@example.com,64,82,94
maya.sengupta171@example.com,46,72,100
falan.malhotra172@example.com,67,71,73
pahal.raju173@example.com,73,50,47
balveer.jani174@example.com,93,45,82
ayaan.kapoor175@example.com,47,74,52
kritika.pall176@example.com,99,92,81
lipika.bahri177@example.com,83,74,49
xiti.sami178@example.com,96,54,66
kashvi.kaur179@example.com,98,54,81
rachita.sengupta180@example.com,74,56,68
hritik.ben181@example.com,66,62,53
balvan.sheth182@example.com,42,68,81
balhaar.bala183@example.com,76,42,70
guneet.cherian184@example.com,43,63,47
parth.mani185@example.com,55,97,67
raksha.raju186@example.com,43,96,46
shivansh.kara187@example.com,58,48,76
vrinda.kapoor188@example.com,99,40,60
pavani.tak189@example.com,41,45,79
zarna.rege190@example.com,50,79,80
anjali.prasad191@example.com,78,47,83
advay.bath192@example.com,96,57,63
ojasvi.bumb193@example.com,62,40,44
nitara.misra194@example.com,89,48,85
onveer.ray195@example.com,50,77,49
logan.johal196@example.com,68,72,44
mitali.handa197@example.com,63,86,78
benjamin.konda198@example.com,79,59,94
