student_email,attendance
thomas.kapadia0@example.com,99.51
ekaraj.uppal1@example.com,89.46
aadhya.zachariah2@example.com,99.15
samarth.grewal3@example.com,88.92
gayathri.shan4@example.com,72.47
janya.maharaj5@example.com,89.02
keya.dey6@example.com,83.55
yashvi.nadkarni7@example.com,78.65
faris.doshi8@example.com,70.27
liam.atwal9@example.com,90.83
ansh.murty10@example.com,80.31
pooja.divan11@example.com,88.09
chanakya.lala12@example.com,80.27
ubika.kumer13@example.com,67.22
anthony.mukhopadhyay14@example.com,89.82
rehaan.krishnamurthy15@example.com,90.42
isaac.lad16@example.com,96.25
charita.mutti17@example.com,90.56
yuvraj.modi18@example.com,93.14
upkaar.devan19@example.com,88.58
indira.seth20@example.com,76.38
waida.doshi21@example.com,91.51
panini.konda22@example.com,90.79
sathvik.rao23@example.com,87.23
oscar.karpe24@example.com,77.6
agastya.suresh25@example.com,82.29
umang.dani26@example.com,93.65
mohammed.parsa27@example.com,90.39
vasudha.lalla28@example.com,95.98
siya.patla29@example.com,82.48
leela.master30@example.com,89.28
omkaar.vora31@example.com,80.2
manbir.mitra32@example.com,67.52
brijesh.nagy33@example.com,99.01
akshay.sur34@example.com,82.37
ryan.tank35@example.com,96.92
geetika.merchant36@example.com,69.9
abhimanyu.gara37@example.com,90.61
ubika.gola38@example.com,98.99
harrison.dugar39@example.com,74.58
saumya.gour40@example.com,86.75
hema.hayre41@example.com,78.5
lipika.parsa42@example.com,70.98
aarush.sur43@example.com,88.36
baljiwan.goswami44@example.com,91.13
vedhika.banik45@example.com,99.77
ayaan.chahal46@example.com,90.36
hemani.rout47@example.com,70.14
michael.dara48@example.com,90.52
jairaj.rajan49@example.com,79.6
chanakya.bhardwaj50@example.com,76.18
ekalinga.contractor51@example.com,73.96
ethan.balasubramanian52@example.com,66.0
zayyan.sur53@example.com,69.71
pallavi.prabhakar54@example.com,83.8
wazir.deshpande55@example.com,99.78
ojas.mannan56@example.com,70.65
indali.dave57@example.com,98.31
amara.sarin58@example.com,73.36
hardik.kota59@example.com,68.24
onkar.bhavsar60@example.com,91.9
siddharth.barad61@example.com,99.66
bhavika.radhakrishnan62@example.com,84.38
ethan.gala63@example.com,69.2
bimala.suresh64@example.com,88.2
chanchal.manda65@example.com,68.05
gaurangi.banerjee66@example.com,90.92
aashi.nayak67@example.com,80.48
eta.mander68@example.com,77.53
ayush.jani69@example.com,87.75
chavvi.kade70@example.com,68.43
veda.brar71@example.com,90.44
arjun.bandi72@example.com,96.31
varenya.prabhakar73@example.com,84.17
tanish.kaul74@example.com,79.27
tamanna.bhat75@example.com,88.03
chameli.parmer76@example.com,65.59
ganga.bava77@example.com,80.99
balendra.raman78@example.com,70.99
rehaan.khurana79@example.com,80.76
darika.taneja80@example.com,66.12
timothy.kala81@example.com,87.47
vinaya.wason82@example.com,78.07
turvi.borde83@example.com,82.66
henry.gopal84@example.com,79.26
sai.prabhu85@example.com,78.16
victor.upadhyay86@example.com,90.91
falan.dalal87@example.com,73.64
neelima.datta88@example.com,66.01
oeshi.pathak89@example.com,91.42
chanchal.dora90@example.com,93.01
finn.master91@example.com,82.19
timothy.kaul92@example.com,92.42
wyatt.batra93@example.com,80.87
chaaya.shenoy94@example.com,84.09
lopa.parmer95@example.com,79.52
matthew.raju96@example.com,84.86
abdul.upadhyay97@example.com,99.42
abhiram.wadhwa98@example.com,82.06
ubika.sankaran99@example.com,84.97
ekiya.jhaveri100@example.com,83.47
yasti.krish101@example.com,95.24
anita.dhillon102@example.com,80.68
hema.rastogi103@example.com,72.92
suhani.dutt104@example.com,83.61
gautam.kari105@example.com,93.38
eta.prabhu106@example.com,86.24
avni.sinha107@example.com,75.46
onveer.hayer108@example.com,81.64
praneel.ganesan109@example.com,98.63
rudra.kala110@example.com,72.83
hardik.buch111@example.com,71.66
irya.wadhwa112@example.com,98.59
xiti.vora113@example.com,88.09
divya.sridhar114@example.com,88.82
gunbir.dyal115@example.com,78.7
warinder.kant116@example.com,68.62
chanakya.batra117@example.com,68.28
ayushman.bhatia118@example.com,68.1
mohammed.sachdeva119@example.com,73.64
chanchal.acharya120@example.com,89.44
dayita.bhalla121@example.com,97.61
krisha.apte122@example.com,81.56
radhika.nair123@example.com,99.84
agastya.padmanabhan124@example.com,69.11
pratyush.kalita125@example.com,94.93
pranav.jain126@example.com,98.55
urvashi.bansal127@example.com,67.84
indali.bains128@example.com,76.91
anusha.anne129@example.com,82.73
pushti.jha130@example.com,98.79
anmol.narasimhan131@example.com,76.56
ryan.dhar132@example.com,99.72
brinda.dara133@example.com,74.46
divya.salvi134@example.com,74.4
farhan.comar135@example.com,71.42
lajita.minhas136@example.com,65.57
widisha.gole137@example.com,97.03
rehaan.padmanabhan138@example.com,76.92
eta.magar139@example.com,86.84
sanaya.khurana140@example.com,98.17
panini.parmar141@example.com,89.34
vaishnavi.kala142@example.com,87.62
bhavini.nagy143@example.com,87.93
bhavika.banik144@example.com,69.6
xalak.madan145@example.com,94.48
gayathri.bose146@example.com,94.58
dipta.khanna147@example.com,75.64
nilima.merchant148@example.com,91.59
viraj.sama149@example.com,87.9
chaitanya.basu150@example.com,85.73
ojasvi.dugar151@example.com,86.0
champak.padmanabhan152@example.com,65.97
vihaan.balay153@example.com,97.55
darpan.mutti154@example.com,69.92
zinal.trivedi155@example.com,85.44
lakshit.kadakia156@example.com,89.74
yauvani.chaudhry157@example.com,77.63
aarna.patla158@example.com,68.05
keya.natarajan159@example.com,75.6
forum.bala160@example.com,96.91
wahab.murthy161@example.com,83.19
aadi.warrior162@example.com,74.48
kashvi.rastogi163@example.com,83.62
azaan.issac164@example.com,73.76
ganga.das165@example.com,90.09
nisha.thakur166@example.com,76.99
eesha.kalla167@example.com,72.36
ekansh.comar168@example.com,68.8
shivansh.bains169@example.com,94.55
tejas.wason170@example.com,65.55
maya.sengupta171@example.com,98.65
falan.malhotra172@example.com,87.88
pahal.raju173@example.com,87.9
balveer.jani174@example.com,74.19
ayaan.kapoor175@example.com,80.83
kritika.pall176@example.com,72.73
lipika.bahri177@example.com,87.13
xiti.sami178@example.com,77.9
kashvi.kaur179@example.com,90.1
rachita.sengupta180@example.com,66.46
hritik.ben181@example.com,94.06
balvan.sheth182@example.com,92.75
balhaar.bala183@example.com,74.04
guneet.cherian184@example.com,86.51
parth.mani185@example.com,94.71
raksha.raju186@example.com,94.24
shivansh.kara187@example.com,70.22
vrinda.kapoor188@example.com,85.29
pavani.tak189@example.com,81.48
zarna.rege190@example.com,72.34
anjali.prasad191@example.com,81.74
advay.bath192@example.com,69.87
ojasvi.bumb193@example.com,93.83
nitara.misra194@example.com,79.47
onveer.ray195@example.com,80.42
logan.johal196@example.com,77.89
mitali.handa197@example.com,71.31
benjamin.konda198@example.com,91.46
bakhshi.lad199@example.com,70.63
