student_email,job_id,technical_score
thomas.kapadia0@example.com,4,85
ekaraj.uppal1@example.com,1,100
aadhya.zachariah2@example.com,3,49
samarth.grewal3@example.com,4,74
gayathri.shan4@example.com,3,56
janya.maharaj5@example.com,5,77
keya.dey6@example.com,2,99
yashvi.nadkarni7@example.com,2,65
faris.doshi8@example.com,1,60
liam.atwal9@example.com,4,52
ansh.murty10@example.com,1,56
pooja.divan11@example.com,1,45
chanakya.lala12@example.com,5,51
ubika.kumer13@example.com,3,87
anthony.mukhopadhyay14@example.com,4,58
rehaan.krishnamurthy15@example.com,4,62
isaac.lad16@example.com,3,78
charita.mutti17@example.com,3,60
yuvraj.modi18@example.com,5,49
upkaar.devan19@example.com,2,98
indira.seth20@example.com,1,83
waida.doshi21@example.com,1,67
panini.konda22@example.com,2,57
sathvik.rao23@example.com,5,68
oscar.karpe24@example.com,2,43
agastya.suresh25@example.com,2,80
umang.dani26@example.com,4,67
mohammed.parsa27@example.com,2,100
vasudha.lalla28@example.com,2,49
siya.patla29@example.com,3,52
leela.master30@example.com,1,80
omkaar.vora31@example.com,1,86
manbir.mitra32@example.com,4,78
brijesh.nagy33@example.com,1,74
akshay.sur34@example.com,1,75
ryan.tank35@example.com,3,45
geetika.merchant36@example.com,3,94
abhimanyu.gara37@example.com,2,62
ubika.gola38@example.com,1,98
harrison.dugar39@example.com,3,84
saumya.gour40@example.com,4,80
hema.hayre41@example.com,2,48
lipika.parsa42@example.com,1,83
aarush.sur43@example.com,5,65
baljiwan.goswami44@example.com,1,97
vedhika.banik45@example.com,5,88
ayaan.chahal46@example.com,4,58
hemani.rout47@example.com,3,94
michael.dara48@example.com,1,60
jairaj.rajan49@example.com,3,100
chanakya.bhardwaj50@example.com,3,61
ekalinga.contractor51@example.com,5,92
ethan.balasubramanian52@example.com,4,70
zayyan.sur53@example.com,2,93
pallavi.prabhakar54@example.com,1,91
wazir.deshpande55@example.com,5,73
ojas.mannan56@example.com,3,70
indali.dave57@example.com,2,99
amara.sarin58@example.com,4,52
hardik.kota59@example.com,3,95
onkar.bhavsar60@example.com,5,81
siddharth.barad61@example.com,2,60
bhavika.radhakrishnan62@example.com,2,61
ethan.gala63@example.com,5,87
bimala.suresh64@example.com,2,46
chanchal.manda65@example.com,1,70
gaurangi.banerjee66@example.com,2,41
aashi.nayak67@example.com,1,88
eta.mander68@example.com,5,92
ayush.jani69@example.com,4,46
chavvi.kade70@example.com,2,92
veda.brar71@example.com,3,55
arjun.bandi72@example.com,5,40
varenya.prabhakar73@example.com,4,82
tanish.kaul74@example.com,4,44
tamanna.bhat75@example.com,2,72
chameli.parmer76@example.com,1,69
ganga.bava77@example.com,2,68
balendra.raman78@example.com,3,43
rehaan.khurana79@example.com,3,47
darika.taneja80@example.com,2,66
timothy.kala81@example.com,1,70
vinaya.wason82@example.com,3,80
turvi.borde83@example.com,2,60
henry.gopal84@example.com,4,91
sai.prabhu85@example.com,2,100
victor.upadhyay86@example.com,2,71
falan.dalal87@example.com,5,55
neelima.datta88@example.com,4,81
oeshi.pathak89@example.com,2,44
chanchal.dora90@example.com,3,84
finn.master91@example.com,2,85
timothy.kaul92@example.com,2,100
wyatt.batra93@example.com,1,90
chaaya.shenoy94@example.com,2,54
lopa.parmer95@example.com,1,63
matthew.raju96@example.com,4,79
abdul.upadhyay97@example.com,2,51
abhiram.wadhwa98@example.com,3,89
ubika.sankaran99@example.com,3,40
ekiya.jhaveri100@example.com,4,42
yasti.krish101@example.com,2,56
anita.dhillon102@example.com,2,43
hema.rastogi103@example.com,1,92
suhani.dutt104@example.com,3,87
gautam.kari105@example.com,5,41
eta.prabhu106@example.com,2,89
avni.sinha107@example.com,2,41
onveer.hayer108@example.com,3,84
praneel.ganesan109@example.com,2,76
rudra.kala110@example.com,5,91
hardik.buch111@example.com,2,54
irya.wadhwa112@example.com,2,79
xiti.vora113@example.com,4,86
divya.sridhar114@example.com,4,67
gunbir.dyal115@example.com,3,86
warinder.kant116@example.com,3,88
chanakya.batra117@example.com,3,73
ayushman.bhatia118@example.com,3,48
mohammed.sachdeva119@example.com,1,56
chanchal.acharya120@example.com,4,96
dayita.bhalla121@example.com,5,86
krisha.apte122@example.com,2,61
radhika.nair123@example.com,1,62
agastya.padmanabhan124@example.com,1,100
pratyush.kalita125@example.com,3,92
pranav.jain126@example.com,2,46
urvashi.bansal127@example.com,4,62
indali.bains128@example.com,4,53
anusha.anne129@example.com,1,53
pushti.jha130@example.com,3,66
anmol.narasimhan131@example.com,3,96
ryan.dhar132@example.com,1,53
brinda.dara133@example.com,5,70
divya.salvi134@example.com,3,95
farhan.comar135@example.com,2,56
lajita.minhas136@example.com,2,87
widisha.gole137@example.com,3,92
rehaan.padmanabhan138@example.com,4,65
eta.magar139@example.com,5,64
sanaya.khurana140@example.com,4,58
panini.parmar141@example.com,2,77
vaishnavi.kala142@example.com,3,53
bhavini.nagy143@example.com,2,46
bhavika.banik144@example.com,5,44
xalak.madan145@example.com,1,73
gayathri.bose146@example.com,3,61
dipta.khanna147@example.com,1,81
nilima.merchant148@example.com,2,87
viraj.sama149@example.com,1,67
chaitanya.basu150@example.com,3,88
ojasvi.dugar151@example.com,3,94
champak.padmanabhan152@example.com,1,65
vihaan.balay153@example.com,3,69
darpan.mutti154@example.com,5,64
zinal.trivedi155@example.com,4,64
lakshit.kadakia156@example.com,2,62
yauvani.chaudhry157@example.com,1,57
aarna.patla158@example.com,4,81
keya.natarajan159@example.com,2,60
forum.bala160@example.com,3,96
wahab.murthy161@example.com,5,61
aadi.warrior162@example.com,1,54
kashvi.rastogi163@example.com,2,42
azaan.issac164@example.com,3,95
ganga.das165@example.com,4,47
nisha.thakur166@example.com,3,69
eesha.kalla167@example.com,1,95
ekansh.comar168@example.com,5,59
shivansh.bains169@example.com,3,86
tejas.wason170@example.com,3,82
maya.sengupta171@example.com,4,46
falan.malhotra172@example.com,5,41
pahal.raju173@example.com,2,86
balveer.jani174@example.com,3,62
ayaan.kapoor175@example.com,3,98
kritika.pall176@example.com,3,72
lipika.bahri177@example.com,3,41
xiti.sami178@example.com,1,93
kashvi.kaur179@example.com,2,96
rachita.sengupta180@example.com,3,57
hritik.ben181@example.com,1,44
balvan.sheth182@example.com,4,62
balhaar.bala183@example.com,2,63
guneet.cherian184@example.com,4,99
parth.mani185@example.com,1,76
raksha.raju186@example.com,1,93
shivansh.kara187@example.com,3,45
vrinda.kapoor188@example.com,1,72
pavani.tak189@example.com,2,92
zarna.rege190@example.com,5,50
anjali.prasad191@example.com,2,100
advay.bath192@example.com,2,87
ojasvi.bumb193@example.com,3,53
nitara.misra194@example.com,3,45
onveer.ray195@example.com,5,78
