student_email,technical,hr,communication
thomas.kapadia0@example.com,60,58,76
ekaraj.uppal1@example.com,95,93,67
aadhya.zachariah2@example.com,75,54,62
samarth.grewal3@example.com,96,95,60
gayathri.shan4@example.com,56,80,74
janya.maharaj5@example.com,83,46,46
keya.dey6@example.com,69,74,59
yashvi.nadkarni7@example.com,56,86,77
faris.doshi8@example.com,58,70,92
liam.atwal9@example.com,83,98,56
ansh.murty10@example.com,69,70,59
pooja.divan11@example.com,53,80,82
chanakya.lala12@example.com,86,51,55
ubika.kumer13@example.com,98,74,68
anthony.mukhopadhyay14@example.com,45,83,80
rehaan.krishnamurthy15@example.com,92,54,77
isaac.lad16@example.com,52,76,88
charita.mutti17@example.com,82,48,89
yuvraj.modi18@example.com,65,56,43
upkaar.devan19@example.com,73,72,99
indira.seth20@example.com,73,44,90
waida.doshi21@example.com,95,73,54
panini.konda22@example.com,41,45,98
sathvik.rao23@example.com,90,60,92
oscar.karpe24@example.com,92,73,67
agastya.suresh25@example.com,66,57,82
umang.dani26@example.com,60,92,55
mohammed.parsa27@example.com,78,55,76
vasudha.lalla28@example.com,61,82,88
siya.patla29@example.com,70,57,75
leela.master30@example.com,91,65,74
omkaar.vora31@example.com,86,99,91
manbir.mitra32@example.com,67,47,86
brijesh.nagy33@example.com,70,50,75
akshay.sur34@example.com,99,73,77
ryan.tank35@example.com,54,47,42
geetika.merchant36@example.com,94,83,54
abhimanyu.gara37@example.com,99,78,88
ubika.gola38@example.com,96,81,80
harrison.dugar39@example.com,46,80,98
saumya.gour40@example.com,45,45,72
hema.hayre41@example.com,55,68,87
lipika.parsa42@example.com,74,57,44
aarush.sur43@example.com,47,83,61
baljiwan.goswami44@example.com,69,93,71
vedhika.banik45@example.com,97,90,82
ayaan.chahal46@example.com,52,78,44
hemani.rout47@example.com,94,59,47
michael.dara48@example.com,100,80,49
jairaj.rajan49@example.com,43,51,92
chanakya.bhardwaj50@example.com,81,52,93
ekalinga.contractor51@example.com,41,71,98
ethan.balasubramanian52@example.com,78,91,98
zayyan.sur53@example.com,97,79,90
pallavi.prabhakar54@example.com,100,58,89
wazir.deshpande55@example.com,80,93,66
ojas.mannan56@example.com,56,89,43
indali.dave57@example.com,100,96,56
amara.sarin58@example.com,86,64,48
hardik.kota59@example.com,47,49,87
onkar.bhavsar60@example.com,84,51,50
siddharth.barad61@example.com,99,79,63
bhavika.radhakrishnan62@example.com,94,70,77
ethan.gala63@example.com,55,100,68
bimala.suresh64@example.com,71,100,93
chanchal.manda65@example.com,62,55,87
gaurangi.banerjee66@example.com,77,59,74
aashi.nayak67@example.com,54,53,50
eta.mander68@example.com,44,40,55
ayush.jani69@example.com,90,54,77
chavvi.kade70@example.com,60,81,96
veda.brar71@example.com,73,57,94
arjun.bandi72@example.com,54,45,88
varenya.prabhakar73@example.com,66,47,41
tanish.kaul74@example.com,76,88,51
tamanna.bhat75@example.com,53,49,98
chameli.parmer76@example.com,92,53,51
ganga.bava77@example.com,94,99,92
balendra.raman78@example.com,58,66,59
rehaan.khurana79@example.com,85,50,80
darika.taneja80@example.com,62,85,45
timothy.kala81@example.com,100,76,56
vinaya.wason82@example.com,98,75,88
turvi.borde83@example.com,84,63,79
henry.gopal84@example.com,74,97,65
sai.prabhu85@example.com,57,53,78
victor.upadhyay86@example.com,42,83,66
falan.dalal87@example.com,68,74,78
neelima.datta88@example.com,67,83,87
oeshi.pathak89@example.com,76,100,94
chanchal.dora90@example.com,40,74,81
finn.master91@example.com,81,89,49
timothy.kaul92@example.com,68,97,68
wyatt.batra93@example.com,43,54,89
chaaya.shenoy94@example.com,82,91,58
lopa.parmer95@example.com,79,67,64
matthew.raju96@example.com,65,50,55
abdul.upadhyay97@example.com,41,58,65
abhiram.wadhwa98@example.com,63,90,43
ubika.sankaran99@example.com,54,42,91
ekiya.jhaveri100@example.com,51,91,67
yasti.krish101@example.com,65,96,59
anita.dhillon102@example.com,59,73,41
hema.rastogi103@example.com,79,60,87
suhani.dutt104@example.com,81,62,42
gautam.kari105@example.com,94,77,46
eta.prabhu106@example.com,48,82,90
avni.sinha107@example.com,63,50,63
onveer.hayer108@example.com,46,84,85
praneel.ganesan109@example.com,45,87,46
rudra.kala110@example.com,58,100,91
hardik.buch111@example.com,93,53,51
irya.wadhwa112@example.com,76,53,46
xiti.vora113@example.com,70,58,69
divya.sridhar114@example.com,84,65,51
gunbir.dyal115@example.com,75,68,87
warinder.kant116@example.com,56,75,41
chanakya.batra117@example.com,77,92,77
ayushman.bhatia118@example.com,66,54,70
mohammed.sachdeva119@example.com,46,63,49
chanchal.acharya120@example.com,71,71,75
dayita.bhalla121@example.com,98,67,60
krisha.apte122@example.com,45,53,45
radhika.nair123@example.com,79,81,82
agastya.padmanabhan124@example.com,69,58,88
pratyush.kalita125@example.com,100,71,94
pranav.jain126@example.com,77,59,49
urvashi.bansal127@example.com,54,48,69
indali.bains128@example.com,81,73,99
anusha.anne129@example.com,44,66,66
pushti.jha130@example.com,80,48,59
anmol.narasimhan131@example.com,97,81,44
ryan.dhar132@example.com,51,83,73
brinda.dara133@example.com,62,72,65
