student_email,semester,sgpa
thomas.kapadia0@example.com,1,8.87
thomas.kapadia0@example.com,2,6.28
thomas.kapadia0@example.com,3,8.24
thomas.kapadia0@example.com,4,8.32
thomas.kapadia0@example.com,5,6.34
thomas.kapadia0@example.com,6,8.76
thomas.kapadia0@example.com,7,8.81
thomas.kapadia0@example.com,8,7.33
ekaraj.uppal1@example.com,1,6.34
ekaraj.uppal1@example.com,2,6.26
ekaraj.uppal1@example.com,3,6.26
ekaraj.uppal1@example.com,4,6.1
ekaraj.uppal1@example.com,5,8.63
ekaraj.uppal1@example.com,6,7.51
ekaraj.uppal1@example.com,7,9.53
ekaraj.uppal1@example.com,8,9.75
aadhya.zachariah2@example.com,1,6.08
aadhya.zachariah2@example.com,2,8.62
aadhya.zachariah2@example.com,3,9.45
aadhya.zachariah2@example.com,4,9.34
aadhya.zachariah2@example.com,5,9.71
aadhya.zachariah2@example.com,6,7.38
aadhya.zachariah2@example.com,7,7.57
aadhya.zachariah2@example.com,8,8.18
samarth.grewal3@example.com,1,7.4
samarth.grewal3@example.com,2,9.78
samarth.grewal3@example.com,3,7.24
samarth.grewal3@example.com,4,9.98
samarth.grewal3@example.com,5,8.01
samarth.grewal3@example.com,6,9.83
samarth.grewal3@example.com,7,8.25
samarth.grewal3@example.com,8,7.73
gayathri.shan4@example.com,1,8.96
gayathri.shan4@example.com,2,9.7
gayathri.shan4@example.com,3,8.52
gayathri.shan4@example.com,4,6.63
gayathri.shan4@example.com,5,8.37
gayathri.shan4@example.com,6,8.35
gayathri.shan4@example.com,7,8.82
gayathri.shan4@example.com,8,9.84
janya.maharaj5@example.com,1,8.51
janya.maharaj5@example.com,2,8.33
janya.maharaj5@example.com,3,9.47
janya.maharaj5@example.com,4,7.72
janya.maharaj5@example.com,5,7.73
janya.maharaj5@example.com,6,8.5
janya.maharaj5@example.com,7,9.19
janya.maharaj5@example.com,8,8.44
keya.dey6@example.com,1,8.23
keya.dey6@example.com,2,7.43
keya.dey6@example.com,3,7.24
keya.dey6@example.com,4,7.34
keya.dey6@example.com,5,8.2
keya.dey6@example.com,6,9.3
keya.dey6@example.com,7,9.73
keya.dey6@example.com,8,9.73
yashvi.nadkarni7@example.com,1,9.84
yashvi.nadkarni7@example.com,2,8.55
yashvi.nadkarni7@example.com,3,9.95
yashvi.nadkarni7@example.com,4,6.87
yashvi.nadkarni7@example.com,5,9.5
yashvi.nadkarni7@example.com,6,8.53
yashvi.nadkarni7@example.com,7,9.65
yashvi.nadkarni7@example.com,8,6.63
faris.doshi8@example.com,1,7.01
faris.doshi8@example.com,2,6.38
faris.doshi8@example.com,3,9.54
faris.doshi8@example.com,4,8.11
faris.doshi8@example.com,5,8.03
faris.doshi8@example.com,6,7.54
faris.doshi8@example.com,7,6.27
faris.doshi8@example.com,8,8.74
liam.atwal9@example.com,1,9.72
liam.atwal9@example.com,2,8.31
liam.atwal9@example.com,3,7.59
liam.atwal9@example.com,4,6.87
liam.atwal9@example.com,5,7.68
liam.atwal9@example.com,6,9.46
liam.atwal9@example.com,7,6.22
liam.atwal9@example.com,8,7.1
ansh.murty10@example.com,1,9.19
ansh.murty10@example.com,2,7.95
ansh.murty10@example.com,3,7.63
ansh.murty10@example.com,4,8.81
ansh.murty10@example.com,5,8.36
ansh.murty10@example.com,6,9.63
ansh.murty10@example.com,7,6.36
ansh.murty10@example.com,8,7.61
pooja.divan11@example.com,1,9.41
pooja.divan11@example.com,2,9.85
pooja.divan11@example.com,3,7.56
pooja.divan11@example.com,4,9.37
pooja.divan11@example.com,5,8.75
pooja.divan11@example.com,6,8.84
pooja.divan11@example.com,7,9.46
pooja.divan11@example.com,8,9.23
chanakya.lala12@example.com,1,9.31
chanakya.lala12@example.com,2,7.34
chanakya.lala12@example.com,3,8.94
chanakya.lala12@example.com,4,6.8
chanakya.lala12@example.com,5,7.13
chanakya.lala12@example.com,6,8.55
chanakya.lala12@example.com,7,9.67
chanakya.lala12@example.com,8,9.08
ubika.kumer13@example.com,1,9.51
ubika.kumer13@example.com,2,9.03
ubika.kumer13@example.com,3,6.45
ubika.kumer13@example.com,4,7.39
ubika.kumer13@example.com,5,6.23
ubika.kumer13@example.com,6,6.23
ubika.kumer13@example.com,7,9.57
ubika.kumer13@example.com,8,9.86
anthony.mukhopadhyay14@example.com,1,8.85
anthony.mukhopadhyay14@example.com,2,6.51
anthony.mukhopadhyay14@example.com,3,8.41
anthony.mukhopadhyay14@example.com,4,9.56
anthony.mukhopadhyay14@example.com,5,8.68
anthony.mukhopadhyay14@example.com,6,6.93
anthony.mukhopadhyay14@example.com,7,8.5
anthony.mukhopadhyay14@example.com,8,7.79
rehaan.krishnamurthy15@example.com,1,7.4
rehaan.krishnamurthy15@example.com,2,6.85
rehaan.krishnamurthy15@example.com,3,9.07
rehaan.krishnamurthy15@example.com,4,8.81
rehaan.krishnamurthy15@example.com,5,9.23
rehaan.krishnamurthy15@example.com,6,8.43
rehaan.krishnamurthy15@example.com,7,8.8
rehaan.krishnamurthy15@example.com,8,7.69
isaac.lad16@example.com,1,9.87
isaac.lad16@example.com,2,6.67
isaac.lad16@example.com,3,8.91
isaac.lad16@example.com,4,6.35
isaac.lad16@example.com,5,7.8
isaac.lad16@example.com,6,6.9
isaac.lad16@example.com,7,7.88
isaac.lad16@example.com,8,8.19
charita.mutti17@example.com,1,6.28
charita.mutti17@example.com,2,7.9
charita.mutti17@example.com,3,7.55
charita.mutti17@example.com,4,8.81
charita.mutti17@example.com,5,9.2
charita.mutti17@example.com,6,6.86
charita.mutti17@example.com,7,6.82
charita.mutti17@example.com,8,7.51
yuvraj.modi18@example.com,1,9.81
yuvraj.modi18@example.com,2,6.14
yuvraj.modi18@example.com,3,9.55
yuvraj.modi18@example.com,4,7.31
yuvraj.modi18@example.com,5,6.7
yuvraj.modi18@example.com,6,6.96
yuvraj.modi18@example.com,7,7.17
yuvraj.modi18@example.com,8,8.69
upkaar.devan19@example.com,1,6.36
upkaar.devan19@example.com,2,7.23
upkaar.devan19@example.com,3,8.4
upkaar.devan19@example.com,4,9.5
upkaar.devan19@example.com,5,8.69
upkaar.devan19@example.com,6,8.35
upkaar.devan19@example.com,7,8.35
upkaar.devan19@example.com,8,8.17
indira.seth20@example.com,1,8.68
indira.seth20@example.com,2,9.59
indira.seth20@example.com,3,8.41
indira.seth20@example.com,4,6.74
indira.seth20@example.com,5,8.92
indira.seth20@example.com,6,9.07
indira.seth20@example.com,7,7.2
indira.seth20@example.com,8,8.2
waida.doshi21@example.com,1,8.88
waida.doshi21@example.com,2,7.42
waida.doshi21@example.com,3,6.55
waida.doshi21@example.com,4,9.1
waida.doshi21@example.com,5,7.51
waida.doshi21@example.com,6,9.67
waida.doshi21@example.com,7,9.56
waida.doshi21@example.com,8,9.63
panini.konda22@example.com,1,6.86
panini.konda22@example.com,2,9.59
panini.konda22@example.com,3,6.7
panini.konda22@example.com,4,7.92
panini.konda22@example.com,5,7.51
panini.konda22@example.com,6,6.84
panini.konda22@example.com,7,9.57
panini.konda22@example.com,8,9.34
sathvik.rao23@example.com,1,8.17
sathvik.rao23@example.com,2,6.31
