student_email,certificate_name,issuer
thomas.kapadia0@example.com,Python,Coursera
ekaraj.uppal1@example.com,Python,Coursera
aadhya.zachariah2@example.com,Python,Coursera
samarth.grewal3@example.com,Python,Coursera
gayathri.shan4@example.com,Python,Coursera
janya.maharaj5@example.com,Python,Coursera
keya.dey6@example.com,Python,Coursera
yashvi.nadkarni7@example.com,Python,Coursera
faris.doshi8@example.com,Python,Coursera
liam.atwal9@example.com,Python,Coursera
ansh.murty10@example.com,Python,Coursera
pooja.divan11@example.com,Python,Coursera
chanakya.lala12@example.com,Python,Coursera
ubika.kumer13@example.com,Python,Coursera
anthony.mukhopadhyay14@example.com,Python,Coursera
rehaan.krishnamurthy15@example.com,Python,Coursera
isaac.lad16@example.com,Python,Coursera
charita.mutti17@example.com,Python,Coursera
yuvraj.modi18@example.com,Python,Coursera
upkaar.devan19@example.com,Python,Coursera
indira.seth20@example.com,Python,Coursera
waida.doshi21@example.com,Python,Coursera
panini.konda22@example.com,Python,Coursera
sathvik.rao23@example.com,Python,Coursera
oscar.karpe24@example.com,Python,Coursera
agastya.suresh25@example.com,Python,Coursera
umang.dani26@example.com,Python,Coursera
mohammed.parsa27@example.com,Python,Coursera
vasudha.lalla28@example.com,Python,Coursera
siya.patla29@example.com,Python,Coursera
leela.master30@example.com,Python,Coursera
omkaar.vora31@example.com,Python,Coursera
manbir.mitra32@example.com,Python,Coursera
brijesh.nagy33@example.com,Python,Coursera
akshay.sur34@example.com,Python,Coursera
ryan.tank35@example.com,Python,Coursera
geetika.merchant36@example.com,Python,Coursera
abhimanyu.gara37@example.com,Python,Coursera
ubika.gola38@example.com,Python,Coursera
harrison.dugar39@example.com,Python,Coursera
saumya.gour40@example.com,Python,Coursera
hema.hayre41@example.com,Python,Coursera
lipika.parsa42@example.com,Python,Coursera
aarush.sur43@example.com,Python,Coursera
baljiwan.goswami44@example.com,Python,Coursera
vedhika.banik45@example.com,Python,Coursera
ayaan.chahal46@example.com,Python,Coursera
hemani.rout47@example.com,Python,Coursera
michael.dara48@example.com,Python,Coursera
jairaj.rajan49@example.com,Python,Coursera
chanakya.bhardwaj50@example.com,Python,Coursera
ekalinga.contractor51@example.com,Python,Coursera
ethan.balasubramanian52@example.com,Python,Coursera
zayyan.sur53@example.com,Python,Coursera
pallavi.prabhakar54@example.com,Python,Coursera
wazir.deshpande55@example.com,Python,Coursera
ojas.mannan56@example.com,Python,Coursera
indali.dave57@example.com,Python,Coursera
amara.sarin58@example.com,Python,Coursera
hardik.kota59@example.com,Python,Coursera
onkar.bhavsar60@example.com,Python,Coursera
siddharth.barad61@example.com,Python,Coursera
bhavika.radhakrishnan62@example.com,Python,Coursera
ethan.gala63@example.com,Python,Coursera
