student_email,leetcode_rating
thomas.kapadia0@example.com,1347
ekaraj.uppal1@example.com,983
aadhya.zachariah2@example.com,2075
samarth.grewal3@example.com,1079
gayathri.shan4@example.com,1003
janya.maharaj5@example.com,1669
keya.dey6@example.com,993
yashvi.nadkarni7@example.com,1025
faris.doshi8@example.com,1982
liam.atwal9@example.com,2182
ansh.murty10@example.com,1239
pooja.divan11@example.com,1314
chanakya.lala12@example.com,1542
ubika.kumer13@example.com,1048
anthony.mukhopadhyay14@example.com,1867
rehaan.krishnamurthy15@example.com,2150
isaac.lad16@example.com,1207
charita.mutti17@example.com,1608
yuvraj.modi18@example.com,1816
upkaar.devan19@example.com,1437
indira.seth20@example.com,1812
waida.doshi21@example.com,2004
panini.konda22@example.com,1057
sathvik.rao23@example.com,1694
oscar.karpe24@example.com,1859
agastya.suresh25@example.com,2005
umang.dani26@example.com,2180
mohammed.parsa27@example.com,938
vasudha.lalla28@example.com,1303
siya.patla29@example.com,1682
leela.master30@example.com,971
omkaar.vora31@example.com,1203
manbir.mitra32@example.com,1060
brijesh.nagy33@example.com,1179
akshay.sur34@example.com,1514
ryan.tank35@example.com,1335
geetika.merchant36@example.com,1903
abhimanyu.gara37@example.com,1575
ubika.gola38@example.com,1336
harrison.dugar39@example.com,1244
saumya.gour40@example.com,1846
hema.hayre41@example.com,1460
lipika.parsa42@example.com,1138
aarush.sur43@example.com,2050
baljiwan.goswami44@example.com,2011
vedhika.banik45@example.com,922
ayaan.chahal46@example.com,1774
hemani.rout47@example.com,1916
michael.dara48@example.com,1785
jairaj.rajan49@example.com,1796
chanakya.bhardwaj50@example.com,989
ekalinga.contractor51@example.com,1657
ethan.balasubramanian52@example.com,1018
zayyan.sur53@example.com,2049
pallavi.prabhakar54@example.com,2035
wazir.deshpande55@example.com,1322
ojas.mannan56@example.com,1867
indali.dave57@example.com,1898
amara.sarin58@example.com,1287
hardik.kota59@example.com,1884
onkar.bhavsar60@example.com,1042
siddharth.barad61@example.com,1653
bhavika.radhakrishnan62@example.com,1355
ethan.gala63@example.com,1342
bimala.suresh64@example.com,1096
chanchal.manda65@example.com,1121
gaurangi.banerjee66@example.com,1336
aashi.nayak67@example.com,1615
eta.mander68@example.com,1789
ayush.jani69@example.com,1861
chavvi.kade70@example.com,1480
veda.brar71@example.com,1243
arjun.bandi72@example.com,1579
varenya.prabhakar73@example.com,2020
tanish.kaul74@example.com,1942
tamanna.bhat75@example.com,1821
chameli.parmer76@example.com,1316
ganga.bava77@example.com,1070
balendra.raman78@example.com,1837
rehaan.khurana79@example.com,1838
darika.taneja80@example.com,1021
timothy.kala81@example.com,1709
vinaya.wason82@example.com,2174
turvi.borde83@example.com,1050
henry.gopal84@example.com,1982
sai.prabhu85@example.com,1113
victor.upadhyay86@example.com,1335
falan.dalal87@example.com,1796
neelima.datta88@example.com,1204
oeshi.pathak89@example.com,1444
chanchal.dora90@example.com,1991
finn.master91@example.com,1569
timothy.kaul92@example.com,1462
wyatt.batra93@example.com,1433
chaaya.shenoy94@example.com,1471
lopa.parmer95@example.com,992
matthew.raju96@example.com,1716
abdul.upadhyay97@example.com,1231
