student_email,hackathon_name,position
thomas.kapadia0@example.com,SIH,Participant
ekaraj.uppal1@example.com,SIH,Participant
aadhya.zachariah2@example.com,SIH,Participant
samarth.grewal3@example.com,SIH,Participant
gayathri.shan4@example.com,SIH,Participant
janya.maharaj5@example.com,SIH,Participant
keya.dey6@example.com,SIH,Participant
yashvi.nadkarni7@example.com,SIH,Participant
faris.doshi8@example.com,SIH,Participant
liam.atwal9@example.com,SIH,Participant
ansh.murty10@example.com,SIH,Participant
pooja.divan11@example.com,SIH,Participant
chanakya.lala12@example.com,SIH,Participant
ubika.kumer13@example.com,SIH,Participant
anthony.mukhopadhyay14@example.com,SIH,Participant
rehaan.krishnamurthy15@example.com,SIH,Participant
isaac.lad16@example.com,SIH,Participant
charita.mutti17@example.com,SIH,Participant
yuvraj.modi18@example.com,SIH,Participant
upkaar.devan19@example.com,SIH,Participant
indira.seth20@example.com,SIH,Participant
waida.doshi21@example.com,SIH,Participant
panini.konda22@example.com,SIH,Participant
sathvik.rao23@example.com,SIH,Participant
oscar.karpe24@example.com,SIH,Participant
agastya.suresh25@example.com,SIH,Participant
umang.dani26@example.com,SIH,Participant
mohammed.parsa27@example.com,SIH,Participant
vasudha.lalla28@example.com,SIH,Participant
siya.patla29@example.com,SIH,Participant
leela.master30@example.com,SIH,Participant
omkaar.vora31@example.com,SIH,Participant
manbir.mitra32@example.com,SIH,Participant
brijesh.nagy33@example.com,SIH,Participant
akshay.sur34@example.com,SIH,Participant
ryan.tank35@example.com,SIH,Participant
geetika.merchant36@example.com,SIH,Participant
abhimanyu.gara37@example.com,SIH,Participant
ubika.gola38@example.com,SIH,Participant
harrison.dugar39@example.com,SIH,Participant
saumya.gour40@example.com,SIH,Participant
hema.hayre41@example.com,SIH,Participant
lipika.parsa42@example.com,SIH,Participant
aarush.sur43@example.com,SIH,Participant
baljiwan.goswami44@example.com,SIH,Participant
vedhika.banik45@example.com,SIH,Participant
ayaan.chahal46@example.com,SIH,Participant
hemani.rout47@example.com,SIH,Participant
michael.dara48@example.com,SIH,Participant
jairaj.rajan49@example.com,SIH,Participant
chanakya.bhardwaj50@example.com,SIH,Participant
ekalinga.contractor51@example.com,SIH,Participant
ethan.balasubramanian52@example.com,SIH,Participant
zayyan.sur53@example.com,SIH,Participant
pallavi.prabhakar54@example.com,SIH,Participant
wazir.deshpande55@example.com,SIH,Participant
ojas.mannan56@example.com,SIH,Participant
indali.dave57@example.com,SIH,Participant
amara.sarin58@example.com,SIH,Participant
hardik.kota59@example.com,SIH,Participant
onkar.bhavsar60@example.com,SIH,Participant
siddharth.barad61@example.com,SIH,Participant
bhavika.radhakrishnan62@example.com,SIH,Participant
ethan.gala63@example.com,SIH,Participant
bimala.suresh64@example.com,SIH,Participant
chanchal.manda65@example.com,SIH,Participant
gaurangi.banerjee66@example.com,SIH,Participant
aashi.nayak67@example.com,SIH,Participant
eta.mander68@example.com,SIH,Participant
ayush.jani69@example.com,SIH,Participant
chavvi.kade70@example.com,SIH,Participant
veda.brar71@example.com,SIH,Participant
arjun.bandi72@example.com,SIH,Participant
varenya.prabhakar73@example.com,SIH,Participant
tanish.kaul74@example.com,SIH,Participant
tamanna.bhat75@example.com,SIH,Participant
chameli.parmer76@example.com,SIH,Participant
ganga.bava77@example.com,SIH,Participant
balendra.raman78@example.com,SIH,Participant
rehaan.khurana79@example.com,SIH,Participant
darika.taneja80@example.com,SIH,Participant
timothy.kala81@example.com,SIH,Participant
vinaya.wason82@example.com,SIH,Participant
turvi.borde83@example.com,SIH,Participant
henry.gopal84@example.com,SIH,Participant
sai.prabhu85@example.com,SIH,Participant
victor.upadhyay86@example.com,SIH,Participant
falan.dalal87@example.com,SIH,Participant
neelima.datta88@example.com,SIH,Participant
oeshi.pathak89@example.com,SIH,Participant
chanchal.dora90@example.com,SIH,Participant
finn.master91@example.com,SIH,Participant
timothy.kaul92@example.com,SIH,Participant
wyatt.batra93@example.com,SIH,Participant
chaaya.shenoy94@example.com,SIH,Participant
lopa.parmer95@example.com,SIH,Participant
matthew.raju96@example.com,SIH,Participant
