student_email,company_name,role
thomas.kapadia0@example.com,Infosys,Intern
ekaraj.uppal1@example.com,Infosys,Intern
aadhya.zachariah2@example.com,Infosys,Intern
samarth.grewal3@example.com,Infosys,Intern
gayathri.shan4@example.com,Infosys,Intern
janya.maharaj5@example.com,Infosys,Intern
keya.dey6@example.com,Infosys,Intern
yashvi.nadkarni7@example.com,Infosys,Intern
faris.doshi8@example.com,Infosys,Intern
liam.atwal9@example.com,Infosys,Intern
ansh.murty10@example.com,Infosys,Intern
pooja.divan11@example.com,Infosys,Intern
chanakya.lala12@example.com,Infosys,Intern
ubika.kumer13@example.com,Infosys,Intern
anthony.mukhopadhyay14@example.com,Infosys,Intern
rehaan.krishnamurthy15@example.com,Infosys,Intern
isaac.lad16@example.com,Infosys,Intern
charita.mutti17@example.com,Infosys,Intern
yuvraj.modi18@example.com,Infosys,Intern
upkaar.devan19@example.com,Infosys,Intern
indira.seth20@example.com,Infosys,Intern
waida.doshi21@example.com,Infosys,Intern
panini.konda22@example.com,Infosys,Intern
sathvik.rao23@example.com,Infosys,Intern
oscar.karpe24@example.com,Infosys,Intern
agastya.suresh25@example.com,Infosys,Intern
umang.dani26@example.com,Infosys,Intern
mohammed.parsa27@example.com,Infosys,Intern
vasudha.lalla28@example.com,Infosys,Intern
siya.patla29@example.com,Infosys,Intern
leela.master30@example.com,Infosys,Intern
omkaar.vora31@example.com,Infosys,Intern
manbir.mitra32@example.com,Infosys,Intern
brijesh.nagy33@example.com,Infosys,Intern
akshay.sur34@example.com,Infosys,Intern
ryan.tank35@example.com,Infosys,Intern
geetika.merchant36@example.com,Infosys,Intern
abhimanyu.gara37@example.com,Infosys,Intern
ubika.gola38@example.com,Infosys,Intern
harrison.dugar39@example.com,Infosys,Intern
saumya.gour40@example.com,Infosys,Intern
hema.hayre41@example.com,Infosys,Intern
lipika.parsa42@example.com,Infosys,Intern
aarush.sur43@example.com,Infosys,Intern
baljiwan.goswami44@example.com,Infosys,Intern
vedhika.banik45@example.com,Infosys,Intern
ayaan.chahal46@example.com,Infosys,Intern
hemani.rout47@example.com,Infosys,Intern
michael.dara48@example.com,Infosys,Intern
jairaj.rajan49@example.com,Infosys,Intern
chanakya.bhardwaj50@example.com,Infosys,Intern
ekalinga.contractor51@example.com,Infosys,Intern
ethan.balasubramanian52@example.com,Infosys,Intern
zayyan.sur53@example.com,Infosys,Intern
pallavi.prabhakar54@example.com,Infosys,Intern
wazir.deshpande55@example.com,Infosys,Intern
ojas.mannan56@example.com,Infosys,Intern
indali.dave57@example.com,Infosys,Intern
amara.sarin58@example.com,Infosys,Intern
hardik.kota59@example.com,Infosys,Intern
onkar.bhavsar60@example.com,Infosys,Intern
siddharth.barad61@example.com,Infosys,Intern
bhavika.radhakrishnan62@example.com,Infosys,Intern
ethan.gala63@example.com,Infosys,Intern
bimala.suresh64@example.com,Infosys,Intern
chanchal.manda65@example.com,Infosys,Intern
gaurangi.banerjee66@example.com,Infosys,Intern
aashi.nayak67@example.com,Infosys,Intern
eta.mander68@example.com,Infosys,Intern
ayush.jani69@example.com,Infosys,Intern
chavvi.kade70@example.com,Infosys,Intern
veda.brar71@example.com,Infosys,Intern
arjun.bandi72@example.com,Infosys,Intern
varenya.prabhakar73@example.com,Infosys,Intern
tanish.kaul74@example.com,Infosys,Intern
tamanna.bhat75@example.com,Infosys,Intern
chameli.parmer76@example.com,Infosys,Intern
ganga.bava77@example.com,Infosys,Intern
balendra.raman78@example.com,Infosys,Intern
rehaan.khurana79@example.com,Infosys,Intern
darika.taneja80@example.com,Infosys,Intern
