student_email,preferred_role,preferred_location
thomas.kapadia0@example.com,Software Engineer,Bangalore
ekaraj.uppal1@example.com,Software Engineer,Bangalore
aadhya.zachariah2@example.com,Software Engineer,Bangalore
samarth.grewal3@example.com,Software Engineer,Bangalore
gayathri.shan4@example.com,Software Engineer,Bangalore
janya.maharaj5@example.com,Software Engineer,Bangalore
keya.dey6@example.com,Software Engineer,Bangalore
yashvi.nadkarni7@example.com,Software Engineer,Bangalore
faris.doshi8@example.com,Software Engineer,Bangalore
liam.atwal9@example.com,Software Engineer,Bangalore
ansh.murty10@example.com,Software Engineer,Bangalore
pooja.divan11@example.com,Software Engineer,Bangalore
chanakya.lala12@example.com,Software Engineer,Bangalore
ubika.kumer13@example.com,Software Engineer,Bangalore
anthony.mukhopadhyay14@example.com,Software Engineer,Bangalore
rehaan.krishnamurthy15@example.com,Software Engineer,Bangalore
isaac.lad16@example.com,Software Engineer,Bangalore
charita.mutti17@example.com,Software Engineer,Bangalore
yuvraj.modi18@example.com,Software Engineer,Bangalore
upkaar.devan19@example.com,Software Engineer,Bangalore
indira.seth20@example.com,Software Engineer,Bangalore
waida.doshi21@example.com,Software Engineer,Bangalore
panini.konda22@example.com,Software Engineer,Bangalore
sathvik.rao23@example.com,Software Engineer,Bangalore
oscar.karpe24@example.com,Software Engineer,Bangalore
agastya.suresh25@example.com,Software Engineer,Bangalore
umang.dani26@example.com,Software Engineer,Bangalore
mohammed.parsa27@example.com,Software Engineer,Bangalore
vasudha.lalla28@example.com,Software Engineer,Bangalore
siya.patla29@example.com,Software Engineer,Bangalore
leela.master30@example.com,Software Engineer,Bangalore
omkaar.vora31@example.com,Software Engineer,Bangalore
manbir.mitra32@example.com,Software Engineer,Bangalore
brijesh.nagy33@example.com,Software Engineer,Bangalore
akshay.sur34@example.com,Software Engineer,Bangalore
ryan.tank35@example.com,Software Engineer,Bangalore
geetika.merchant36@example.com,Software Engineer,Bangalore
abhimanyu.gara37@example.com,Software Engineer,Bangalore
ubika.gola38@example.com,Software Engineer,Bangalore
harrison.dugar39@example.com,Software Engineer,Bangalore
saumya.gour40@example.com,Software Engineer,Bangalore
hema.hayre41@example.com,Software Engineer,Bangalore
lipika.parsa42@example.com,Software Engineer,Bangalore
aarush.sur43@example.com,Software Engineer,Bangalore
baljiwan.goswami44@example.com,Software Engineer,Bangalore
vedhika.banik45@example.com,Software Engineer,Bangalore
ayaan.chahal46@example.com,Software Engineer,Bangalore
hemani.rout47@example.com,Software Engineer,Bangalore
michael.dara48@example.com,Software Engineer,Bangalore
jairaj.rajan49@example.com,Software Engineer,Bangalore
chanakya.bhardwaj50@example.com,Software Engineer,Bangalore
ekalinga.contractor51@example.com,Software Engineer,Bangalore
ethan.balasubramanian52@example.com,Software Engineer,Bangalore
zayyan.sur53@example.com,Software Engineer,Bangalore
pallavi.prabhakar54@example.com,Software Engineer,Bangalore
wazir.deshpande55@example.com,Software Engineer,Bangalore
ojas.mannan56@example.com,Software Engineer,Bangalore
indali.dave57@example.com,Software Engineer,Bangalore
amara.sarin58@example.com,Software Engineer,Bangalore
hardik.kota59@example.com,Software Engineer,Bangalore
onkar.bhavsar60@example.com,Software Engineer,Bangalore
siddharth.barad61@example.com,Software Engineer,Bangalore
bhavika.radhakrishnan62@example.com,Software Engineer,Bangalore
ethan.gala63@example.com,Software Engineer,Bangalore
bimala.suresh64@example.com,Software Engineer,Bangalore
chanchal.manda65@example.com,Software Engineer,Bangalore
gaurangi.banerjee66@example.com,Software Engineer,Bangalore
aashi.nayak67@example.com,Software Engineer,Bangalore
eta.mander68@example.com,Software Engineer,Bangalore
ayush.jani69@example.com,Software Engineer,Bangalore
chavvi.kade70@example.com,Software Engineer,Bangalore
veda.brar71@example.com,Software Engineer,Bangalore
arjun.bandi72@example.com,Software Engineer,Bangalore
varenya.prabhakar73@example.com,Software Engineer,Bangalore
tanish.kaul74@example.com,Software Engineer,Bangalore
tamanna.bhat75@example.com,Software Engineer,Bangalore
chameli.parmer76@example.com,Software Engineer,Bangalore
ganga.bava77@example.com,Software Engineer,Bangalore
balendra.raman78@example.com,Software Engineer,Bangalore
rehaan.khurana79@example.com,Software Engineer,Bangalore
darika.taneja80@example.com,Software Engineer,Bangalore
timothy.kala81@example.com,Software Engineer,Bangalore
vinaya.wason82@example.com,Software Engineer,Bangalore
turvi.borde83@example.com,Software Engineer,Bangalore
henry.gopal84@example.com,Software Engineer,Bangalore
sai.prabhu85@example.com,Software Engineer,Bangalore
victor.upadhyay86@example.com,Software Engineer,Bangalore
falan.dalal87@example.com,Software Engineer,Bangalore
neelima.datta88@example.com,Software Engineer,Bangalore
oeshi.pathak89@example.com,Software Engineer,Bangalore
chanchal.dora90@example.com,Software Engineer,Bangalore
