student_email,skill_name,proficiency
thomas.kapadia0@example.com,Python,2
thomas.kapadia0@example.com,React,4
thomas.kapadia0@example.com,C++,2
thomas.kapadia0@example.com,SQL,1
ekaraj.uppal1@example.com,SQL,1
ekaraj.uppal1@example.com,Python,5
ekaraj.uppal1@example.com,Java,1
aadhya.zachariah2@example.com,SQL,1
aadhya.zachariah2@example.com,Python,4
samarth.grewal3@example.com,SQL,4
samarth.grewal3@example.com,Python,5
samarth.grewal3@example.com,C++,1
samarth.grewal3@example.com,Java,2
gayathri.shan4@example.com,Java,1
gayathri.shan4@example.com,Python,2
gayathri.shan4@example.com,C++,3
janya.maharaj5@example.com,Java,2
janya.maharaj5@example.com,React,3
janya.maharaj5@example.com,C++,3
janya.maharaj5@example.com,SQL,1
keya.dey6@example.com,React,3
keya.dey6@example.com,Java,3
keya.dey6@example.com,C++,3
keya.dey6@example.com,Python,3
keya.dey6@example.com,SQL,3
yashvi.nadkarni7@example.com,Java,2
yashvi.nadkarni7@example.com,SQL,3
yashvi.nadkarni7@example.com,React,5
faris.doshi8@example.com,C++,1
faris.doshi8@example.com,React,1
faris.doshi8@example.com,SQL,4
faris.doshi8@example.com,Java,2
liam.atwal9@example.com,Python,5
liam.atwal9@example.com,C++,2
ansh.murty10@example.com,React,5
ansh.murty10@example.com,Java,3
ansh.murty10@example.com,C++,1
ansh.murty10@example.com,SQL,2
pooja.divan11@example.com,Python,2
pooja.divan11@example.com,SQL,4
pooja.divan11@example.com,React,5
pooja.divan11@example.com,Java,1
pooja.divan11@example.com,C++,5
chanakya.lala12@example.com,C++,5
chanakya.lala12@example.com,Java,3
chanakya.lala12@example.com,React,4
chanakya.lala12@example.com,SQL,5
ubika.kumer13@example.com,SQL,4
ubika.kumer13@example.com,Java,1
ubika.kumer13@example.com,Python,4
ubika.kumer13@example.com,React,4
anthony.mukhopadhyay14@example.com,Python,4
anthony.mukhopadhyay14@example.com,SQL,1
anthony.mukhopadhyay14@example.com,Java,2
rehaan.krishnamurthy15@example.com,SQL,1
rehaan.krishnamurthy15@example.com,Python,4
rehaan.krishnamurthy15@example.com,React,1
isaac.lad16@example.com,React,4
isaac.lad16@example.com,SQL,3
charita.mutti17@example.com,C++,5
charita.mutti17@example.com,React,4
charita.mutti17@example.com,Python,3
yuvraj.modi18@example.com,Python,5
yuvraj.modi18@example.com,C++,3
upkaar.devan19@example.com,React,3
upkaar.devan19@example.com,Java,4
upkaar.devan19@example.com,SQL,1
upkaar.devan19@example.com,C++,1
upkaar.devan19@example.com,Python,5
indira.seth20@example.com,SQL,3
indira.seth20@example.com,React,2
indira.seth20@example.com,Java,2
waida.doshi21@example.com,React,2
waida.doshi21@example.com,SQL,5
waida.doshi21@example.com,C++,2
waida.doshi21@example.com,Java,5
waida.doshi21@example.com,Python,3
panini.konda22@example.com,React,2
panini.konda22@example.com,Python,1
panini.konda22@example.com,SQL,3
panini.konda22@example.com,C++,3
panini.konda22@example.com,Java,5
sathvik.rao23@example.com,C++,3
sathvik.rao23@example.com,SQL,3
oscar.karpe24@example.com,Python,4
oscar.karpe24@example.com,React,2
oscar.karpe24@example.com,SQL,3
agastya.suresh25@example.com,Python,4
agastya.suresh25@example.com,SQL,2
agastya.suresh25@example.com,Java,1
umang.dani26@example.com,Java,1
umang.dani26@example.com,React,1
mohammed.parsa27@example.com,Java,3
mohammed.parsa27@example.com,React,1
mohammed.parsa27@example.com,SQL,3
vasudha.lalla28@example.com,SQL,5
vasudha.lalla28@example.com,C++,4
vasudha.lalla28@example.com,React,1
vasudha.lalla28@example.com,Java,2
vasudha.lalla28@example.com,Python,5
siya.patla29@example.com,C++,1
siya.patla29@example.com,Java,5
siya.patla29@example.com,SQL,5
siya.patla29@example.com,React,5
leela.master30@example.com,Java,3
leela.master30@example.com,React,1
leela.master30@example.com,SQL,4
leela.master30@example.com,C++,3
leela.master30@example.com,Python,2
omkaar.vora31@example.com,React,4
omkaar.vora31@example.com,Java,2
manbir.mitra32@example.com,Python,4
manbir.mitra32@example.com,Java,4
manbir.mitra32@example.com,SQL,3
manbir.mitra32@example.com,C++,2
brijesh.nagy33@example.com,Python,3
brijesh.nagy33@example.com,SQL,2
brijesh.nagy33@example.com,Java,1
brijesh.nagy33@example.com,React,2
brijesh.nagy33@example.com,C++,2
akshay.sur34@example.com,C++,3
akshay.sur34@example.com,Java,3
ryan.tank35@example.com,C++,1
ryan.tank35@example.com,React,2
geetika.merchant36@example.com,Java,4
geetika.merchant36@example.com,Python,5
geetika.merchant36@example.com,C++,3
geetika.merchant36@example.com,React,1
geetika.merchant36@example.com,SQL,2
abhimanyu.gara37@example.com,Java,2
abhimanyu.gara37@example.com,Python,1
abhimanyu.gara37@example.com,SQL,5
abhimanyu.gara37@example.com,React,5
ubika.gola38@example.com,Python,3
ubika.gola38@example.com,Java,3
ubika.gola38@example.com,SQL,2
harrison.dugar39@example.com,Python,2
harrison.dugar39@example.com,Java,1
harrison.dugar39@example.com,C++,4
saumya.gour40@example.com,C++,5
saumya.gour40@example.com,Python,5
saumya.gour40@example.com,React,3
saumya.gour40@example.com,SQL,5
saumya.gour40@example.com,Java,5
hema.hayre41@example.com,SQL,1
hema.hayre41@example.com,Python,2
hema.hayre41@example.com,Java,5
hema.hayre41@example.com,C++,2
hema.hayre41@example.com,React,5
lipika.parsa42@example.com,C++,4
lipika.parsa42@example.com,Python,1
